# power spectrum of chi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.502569e-20   0.000000e+00   2.913222e-20   6
  2.776802e-02   1.345904e-19   0.000000e+00   3.644377e-20   12
  3.400874e-02   8.050100e-20   3.725290e-10   1.578166e-20   8
  3.926991e-02   6.146558e-20   0.000000e+00   2.016141e-20   6
  4.390509e-02   7.920106e-20   0.000000e+00   1.965742e-20   24
  4.809562e-02   6.719788e-20   7.024475e-10   1.094809e-20   24
  5.553604e-02   3.303021e-20   0.000000e+00   1.223210e-20   12
  5.890486e-02   3.812829e-20   7.947286e-10   5.838276e-21   30
  6.209118e-02   2.328542e-20   0.000000e+00   3.499870e-21   24
  6.512178e-02   1.592533e-20   1.216675e-09   4.263521e-21   24
  6.801748e-02   3.692990e-20   7.450581e-10   8.501382e-21   8
  7.079483e-02   1.710256e-20   9.934107e-10   3.637888e-21   24
  7.346727e-02   1.319689e-20   0.000000e+00   1.981430e-21   48
  7.853982e-02   1.225134e-20   0.000000e+00   1.065618e-21   6
  8.095699e-02   1.220062e-20   1.404895e-09   1.336559e-21   48
  8.330406e-02   8.199491e-21   0.000000e+00   1.625451e-21   36
  8.558678e-02   7.074231e-21   9.934107e-10   1.439005e-21   24
  8.781018e-02   7.485813e-21   0.000000e+00   1.296350e-21   24
  8.997866e-02   6.598521e-21   0.000000e+00   1.174729e-21   48
  9.209610e-02   1.465432e-20   1.404895e-09   2.937056e-21   24
  9.619124e-02   9.303810e-21   1.404895e-09   1.664300e-21   24
  9.817477e-02   4.484080e-21   0.000000e+00   1.236983e-21   30
  1.001190e-01   4.911405e-21   0.000000e+00   4.030155e-22   72
  1.020262e-01   3.733786e-21   1.490116e-09   6.798492e-22   32
  1.057375e-01   5.774443e-21   0.000000e+00   5.940250e-22   72
  1.075451e-01   3.437377e-21   0.000000e+00   4.593926e-22   48
  1.110721e-01   4.366349e-21   0.000000e+00   4.274287e-22   12
  1.127942e-01   3.660208e-21   0.000000e+00   4.032541e-22   48
  1.144905e-01   3.387107e-21   0.000000e+00   4.617132e-22   48
  1.161620e-01   1.903989e-21   1.404895e-09   2.463563e-22   48
  1.178097e-01   2.229815e-21   1.589457e-09   3.750472e-22   30
  1.194348e-01   1.116947e-21   1.404895e-09   1.732071e-22   24
  1.210380e-01   3.003473e-21   2.961779e-09   4.296840e-22   72
  1.241824e-01   1.944704e-21   0.000000e+00   2.756583e-22   24
  1.257251e-01   1.621477e-21   0.000000e+00   1.624545e-22   96
  1.272490e-01   2.519760e-21   0.000000e+00   2.852975e-22   48
  1.287550e-01   2.338825e-21   2.433349e-09   4.195442e-22   24
  1.302436e-01   1.877097e-21   2.433349e-09   2.513301e-22   24
  1.317153e-01   1.540269e-21   0.000000e+00   1.880014e-22   72
  1.331707e-01   1.333368e-21   0.000000e+00   1.607067e-22   48
  1.360350e-01   1.449602e-21   1.490116e-09   6.219473e-22   8
  1.374447e-01   1.354952e-21   1.766064e-09   1.956446e-22   54
  1.388401e-01   1.961112e-21   0.000000e+00   2.440164e-22   84
  1.402216e-01   1.054928e-21   0.000000e+00   1.735767e-22   48
  1.415897e-01   1.060822e-21   1.986821e-09   1.618418e-22   24
  1.429446e-01   1.012981e-21   1.873193e-09   1.193183e-22   72
