# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.432038e-10   0.000000e+00   5.259245e-11   6
  2.776802e-02   2.127750e-10   0.000000e+00   4.678385e-11   12
  3.400874e-02   1.078502e-10   3.725290e-10   3.048244e-11   8
  3.926991e-02   9.241256e-11   0.000000e+00   2.550262e-11   6
  4.390509e-02   6.945694e-11   0.000000e+00   9.019277e-12   24
  4.809562e-02   6.019103e-11   7.024475e-10   1.175247e-11   24
  5.553604e-02   1.564260e-11   0.000000e+00   3.712974e-12   12
  5.890486e-02   4.343728e-11   7.947286e-10   5.076640e-12   30
  6.209118e-02   2.625220e-11   0.000000e+00   4.766267e-12   24
  6.512178e-02   3.075359e-11   1.216675e-09   6.230178e-12   24
  6.801748e-02   5.853491e-11   7.450581e-10   2.132422e-11   8
  7.079483e-02   2.207002e-11   9.934107e-10   4.196606e-12   24
  7.346727e-02   2.070909e-11   0.000000e+00   2.416836e-12   48
  7.853982e-02   1.486663e-11   0.000000e+00   1.036576e-12   6
  8.095699e-02   2.385190e-11   1.404895e-09   2.642834e-12   48
  8.330406e-02   2.194432e-11   0.000000e+00   3.187008e-12   36
  8.558678e-02   1.052204e-11   9.934107e-10   2.651259e-12   24
  8.781018e-02   1.357919e-11   0.000000e+00   2.037278e-12   24
  8.997866e-02   1.295822e-11   0.000000e+00   1.678413e-12   48
  9.209610e-02   2.106565e-11   1.404895e-09   4.042321e-12   24
  9.619124e-02   1.157048e-11   1.404895e-09   2.370847e-12   24
  9.817477e-02   1.333966e-11   0.000000e+00   2.147014e-12   30
  1.001190e-01   1.287628e-11   0.000000e+00   1.261363e-12   72
  1.020262e-01   1.378319e-11   1.490116e-09   2.027438e-12   32
  1.057375e-01   9.006274e-12   0.000000e+00   1.462015e-12   72
  1.075451e-01   9.286089e-12   0.000000e+00   1.168001e-12   48
  1.110721e-01   4.466166e-12   0.000000e+00   8.989147e-13   12
  1.127942e-01   1.013801e-11   0.000000e+00   1.354085e-12   48
  1.144905e-01   9.496517e-12   0.000000e+00   1.389396e-12   48
  1.161620e-01   6.222403e-12   1.404895e-09   9.210184e-13   48
  1.178097e-01   6.490088e-12   1.589457e-09   9.172060e-13   30
  1.194348e-01   7.429813e-12   1.404895e-09   1.128057e-12   24
  1.210380e-01   7.218496e-12   2.961779e-09   7.037169e-13   72
  1.241824e-01   5.915936e-12   0.000000e+00   2.308812e-12   24
  1.257251e-01   8.624731e-12   0.000000e+00   8.079935e-13   96
  1.272490e-01   4.608684e-12   0.000000e+00   8.377858e-13   48
  1.287550e-01   5.786406e-12   2.433349e-09   9.955343e-13   24
  1.302436e-01   1.094120e-11   2.433349e-09   1.978626e-12   24
  1.317153e-01   6.430338e-12   0.000000e+00   8.472886e-13   72
  1.331707e-01   6.859929e-12   0.000000e+00   9.570213e-13   48
  1.360350e-01   9.399954e-12   1.490116e-09   2.969081e-12   8
  1.374447e-01   5.630741e-12   1.766064e-09   5.106393e-13   54
  1.388401e-01   5.898248e-12   0.000000e+00   6.803995e-13   84
  1.402216e-01   4.360155e-12   0.000000e+00   5.916649e-13   48
  1.415897e-01   4.446945e-12   1.986821e-09   1.253052e-12   24
  1.429446e-01   4.864462e-12   1.873193e-09   5.425626e-13   72
  1.442869e-01   4.492325e-12   0.000000e+00   3.678512e-13   96
  1.469345e-01   4.405045e-12   0.000000e+00   4.679292e-13   48
  1.482407e-01   4.096204e-12   0.000000e+00   4.754284e-13   48
  1.495354e-01   3.798003e-12   1.986821e-09   8.523197e-13   24
  1.508189e-01   3.354950e-12   0.000000e+00   4.177120e-13   72
