# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.365032e-16   0.000000e+00   2.881474e-17   6
  2.776802e-02   2.194402e-16   0.000000e+00   2.946599e-17   12
  3.400874e-02   1.584561e-16   3.725290e-10   5.613390e-17   8
  3.926991e-02   1.735604e-16   0.000000e+00   4.006473e-17   6
  4.390509e-02   2.796460e-16   0.000000e+00   3.969577e-17   24
  4.809562e-02   1.471746e-16   7.024475e-10   1.392264e-17   24
  5.553604e-02   1.338482e-16   0.000000e+00   1.799207e-17   12
  5.890486e-02   1.747409e-16   7.947286e-10   3.020626e-17   30
  6.209118e-02   1.667540e-16   0.000000e+00   1.773164e-17   24
  6.512178e-02   2.558333e-16   1.216675e-09   3.892763e-17   24
  6.801748e-02   1.627917e-16   7.450581e-10   3.890796e-17   8
  7.079483e-02   1.030178e-16   9.934107e-10   1.447675e-17   24
  7.346727e-02   1.629350e-16   0.000000e+00   1.517620e-17   48
  7.853982e-02   1.256294e-16   0.000000e+00   1.581350e-17   6
  8.095699e-02   1.329370e-16   1.404895e-09   1.372299e-17   48
  8.330406e-02   1.544563e-16   0.000000e+00   1.170959e-17   36
  8.558678e-02   8.066699e-17   9.934107e-10   1.345743e-17   24
  8.781018e-02   1.303725e-16   0.000000e+00   2.098399e-17   24
  8.997866e-02   9.751270e-17   0.000000e+00   8.347877e-18   48
  9.209610e-02   7.637887e-17   1.404895e-09   8.737397e-18   24
  9.619124e-02   7.907996e-17   1.404895e-09   1.189822e-17   24
  9.817477e-02   8.989922e-17   0.000000e+00   1.089772e-17   30
  1.001190e-01   9.814458e-17   0.000000e+00   7.496287e-18   72
  1.020262e-01   1.320983e-16   1.490116e-09   1.490019e-17   32
  1.057375e-01   9.940437e-17   0.000000e+00   7.092901e-18   72
  1.075451e-01   8.124267e-17   0.000000e+00   8.574074e-18   48
  1.110721e-01   3.156694e-17   0.000000e+00   4.535065e-18   12
  1.127942e-01   7.130619e-17   0.000000e+00   5.482637e-18   48
  1.144905e-01   6.758070e-17   0.000000e+00   6.901864e-18   48
  1.161620e-01   5.772294e-17   1.404895e-09   4.781603e-18   48
  1.178097e-01   6.324525e-17   1.589457e-09   5.768568e-18   30
  1.194348e-01   5.856371e-17   1.404895e-09   1.206285e-17   24
