# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.440056e-19   0.000000e+00   4.358364e-20   6
  2.776802e-02   1.005600e-19   0.000000e+00   9.279689e-21   12
  3.400874e-02   4.490462e-20   3.725290e-10   4.032494e-21   8
  3.926991e-02   4.328081e-20   0.000000e+00   3.690428e-21   6
  4.390509e-02   3.547882e-20   0.000000e+00   3.598086e-21   24
  4.809562e-02   1.632460e-20   7.024475e-10   2.649087e-21   24
  5.553604e-02   1.606545e-20   0.000000e+00   1.744940e-21   12
  5.890486e-02   6.752684e-21   7.947286e-10   6.597518e-22   30
  6.209118e-02   8.315287e-21   0.000000e+00   1.255052e-21   24
  6.512178e-02   9.123073e-21   1.216675e-09   1.401002e-21   24
  6.801748e-02   6.105771e-21   7.450581e-10   7.529683e-22   8
  7.079483e-02   4.697026e-21   9.934107e-10   5.171879e-22   24
  7.346727e-02   4.186640e-21   0.000000e+00   3.782795e-22   48
  7.853982e-02   4.964219e-21   0.000000e+00   4.639464e-22   6
  8.095699e-02   2.547044e-21   1.404895e-09   2.841185e-22   48
  8.330406e-02   3.068228e-21   0.000000e+00   3.250781e-22   36
  8.558678e-02   2.405920e-21   9.934107e-10   3.606143e-22   24
  8.781018e-02   2.591083e-21   0.000000e+00   4.398641e-22   24
  8.997866e-02   1.922446e-21   0.000000e+00   1.850521e-22   48
  9.209610e-02   2.065346e-21   1.404895e-09   2.329374e-22   24
  9.619124e-02   1.473039e-21   1.404895e-09   1.672328e-22   24
  9.817477e-02   1.780228e-21   0.000000e+00   2.842607e-22   30
  1.001190e-01   1.203457e-21   0.000000e+00   7.468264e-23   72
  1.020262e-01   9.632499e-22   1.490116e-09   9.082243e-23   32
  1.057375e-01   1.045690e-21   0.000000e+00   8.427816e-23   72
  1.075451e-01   9.327399e-22   0.000000e+00   8.645067e-23   48
  1.110721e-01   1.090869e-21   0.000000e+00   2.160791e-22   12
  1.127942e-01   7.839292e-22   0.000000e+00   6.504043e-23   48
  1.144905e-01   7.962977e-22   0.000000e+00   6.536500e-23   48
  1.161620e-01   6.841097e-22   1.404895e-09   6.577240e-23   48
  1.178097e-01   7.163032e-22   1.589457e-09   8.819171e-23   30
  1.194348e-01   5.300882e-22   1.404895e-09   6.748202e-23   24
  1.210380e-01   6.101040e-22   2.961779e-09   4.357919e-23   72
  1.241824e-01   5.125382e-22   0.000000e+00   6.703836e-23   24
  1.257251e-01   4.705728e-22   0.000000e+00   2.355152e-23   96
  1.272490e-01   5.124892e-22   0.000000e+00   4.360675e-23   48
  1.287550e-01   5.365167e-22   2.433349e-09   5.993206e-23   24
  1.302436e-01   5.127314e-22   2.433349e-09   7.273254e-23   24
  1.317153e-01   3.749499e-22   0.000000e+00   2.767739e-23   72
  1.331707e-01   4.515956e-22   0.000000e+00   3.858134e-23   48
  1.360350e-01   3.943155e-22   1.490116e-09   4.988976e-23   8
  1.374447e-01   3.325489e-22   1.766064e-09   3.303064e-23   54
  1.388401e-01   2.906706e-22   0.000000e+00   1.702395e-23   84
  1.402216e-01   3.026896e-22   0.000000e+00   2.923488e-23   48
  1.415897e-01   3.427731e-22   1.986821e-09   3.768878e-23   24
  1.429446e-01   2.940861e-22   1.873193e-09   2.381148e-23   72
  1.442869e-01   3.034654e-22   0.000000e+00   2.721034e-23   96
  1.469345e-01   2.247460e-22   0.000000e+00   2.665058e-23   48
  1.482407e-01   2.457583e-22   0.000000e+00   2.223337e-23   48
  1.495354e-01   2.339775e-22   1.986821e-09   2.094777e-23   24
  1.508189e-01   2.206276e-22   0.000000e+00   1.796874e-23   72
